11,"การดำเนินการเรื่องบำเหน็จบำนาญและการดำเนินการเกี่ยวกับเงินเพิ่มพิเศษต่างๆ ถือว่าเป็นงาน
         ประเภทใดของฝ่ายกำลังพล
",1งานธุรการ และสารบรรณ,2งานทะเบียนพล,3งานประวัติ,4งานสวัสดิการ,2,,,,,
12,ในการทดแทนกำลังพล เพื่อรักษายอดกำลังพลในการปฏิบัติการ ฝ่ายยุทธการ(ฝ่ายแผน)   มีหน้าที่  เกี่ยวข้องอย่างไร,1จัดทำและดำรงรักษาประมาณการกำลังทดแทน,2ให้ข้อเสนอ จัดลำดับความเร่งด่วนในการแบ่งมอบกำลัง ทดแทนเป็นบุคคล และทดแทนเป็นหน่วย,3จัดให้มีการสนับสนุนการส่งกำลัง,4ถูกทั้งข้อ 1.  และ 2.,2,,,,,
13,ข้อใดเป็นหน้าที่ในการจัดการกำลังพลในการปฏิบัติการ ของฝ่ายกำลังพล,"1ให้ข้อเสนอแนะในการกำหนดนโยบาย และควบคุมการปฏิบัติ ในทางธุรการ เกี่ยวกับการ
     ดำเนินการกำลังพล
","2วางแผน พัฒนาเรื่องราวที่เกี่ยวกับความปลอดภัยของกำลังพล การป้องกันอุบัติภัย  
",3ถูกทั้งข้อ 1.  และ 2.,4ไม่มีข้อใดถูกข้อ,3,,,,,
14,ข้อใดไม่ถูกต้อง เกี่ยวกับข่าวสารของฝ่ายกำลังพล,1ข่าวสารของฝ่ายกำลังพล คือ ข่าวสารทั้งปวงอันเกี่ยวข้องกับงานในหน้าที่เฉพาะของฝ่ายกำลังพล,"2ปัญหาข้อขัดข้องต่างๆที่กระทบต่อขวัญกำลังพลในการปฏิบัติหน้าที่ ถือว่าเป็นข่าวสารของฝ่าย  
              กำลังพล
",3กฎข้อบังคับในการปฏิบัติการถือว่าเป็นข่าวสารของฝ่ายกำลังพล  ,4ข้อมูลเกี่ยวกับงานธุรการไม่ถือเป็นข่าวสารของฝ่ายกำลังพล,4,,,,,
15,ในการให้ข้อเสนอแนะของฝ่ายกำลังพลต่อผู้บังคับบัญชา  มีสาระในการเสนอแนะคือ,1การสนับสนุนด้านกำลังพล  ต่อแนวทางปฏิบัติที่กำหนดไว้ทุกแนวทางสามารถทำได้หรือไม่,2แนวทางและวิธีการประมาณการกำลังพล,"3ในการสนับสนุนด้านกำลังพล มีปัญหาข้อจำกัด และข้อแนะนำต่อผู้บังคับบัญชาและผู้บังคับหน่วย 
            ปฏิบัติอย่างไรบ้าง
",4ถูกทั้งข้อ 1. และ 3. ,4,,,,,
16,ข้อใดคือ ข่าวสารของฝ่ายกำลังพล,1การรักษายอดกำลังพล  ,2การพัฒนาและรักษาขวัญกำลังพล,3การรักษาวินัย กฎ ข้อบังคับ ในการปฏิบัติการ,4ถูกทุกข้อ,4,,,,,
17,ในการประมาณการกำลังพล เพื่อเสนอแนะต่อผู้บังคับบัญชา ฝ่ายกำลังพลจะต้องนำสถานการณ์ด้านต่าง ๆ ซึ่งได้จากการแลกเปลี่ยนข่าวสารจากฝ่ายอำนวยการอื่น ๆ มาเป็นข้อพิจารณากล่าว ได้แก่,1สถานการณ์ข่าวกรอง  ในด้านของลักษณะพื้นที่ปฏิบัติการ,2สถานการณ์ทางการปฏิบัติ (แนวทางในการปฏิบัติ) ในด้านการใช้กำลัง ,3สถานการณ์ทางการส่งกำลังบำรุง (การสนับสนุน) ,4ถูกทุกข้อ,4,,,,,
18,โครงสร้างสำนักงานตำรวจแห่งชาติตามกฎหมาย ได้แบ่งเป็นส่วนราชการใดบ้าง,1กองบัญชาการ และ กองบังคับการ,2กองบัญชาการ และส่วนราชการเทียบเท่า ,3สำนักงานผู้บัญชาการตำรวจแห่งชาติ และ กองบัญชาการ  ,4ไม่มีข้อใดถูกต้อง,3,,,,,
19,ข้อใดมิใช่งานกำลังพลในการปฏิบัติการ,1การรักษายอดกำลังพล,2งานสวัสดิการ  ,3งานมวลชนสัมพันธ์,4การพัฒนาและการรักษาขวัญ,3,,,,,
20,"การบริการกำลังพล  คือการเอาใจใส่ต่อความต้องการและความเป็นอยู่ของตำรวจแต่ละบุคคล 
          จัดเป็นงานในหน้าที่เฉพาะของฝ่ายอำนวยการกำลังพล ด้านใด
",1การพัฒนาและการรักษาขวัญ,2การรักษายอดกำลังพล,3การจัดการกำลังพล,4การรักษาวินัย  กฎ ข้อบังคับ และคำสั่ง,1,,,,,
21,ข้อใดคือประเภทของงานในหน้าที่ของงานกำลังพล,1งานธุรการชั่วคราว,2งานกำลังพลประจำ,3งานธุรการประจำ,4งานกำลังพลหลัก,3,,,,,
22,ข้อใดมิใช่งานธุรการประจำ,1การจัดการตามระเบียบงานสารบรรณ,2การประเมินผลบุคคล,3การรักษายอดกำลังพล,4การจัดสวัสดิการ,3,,,,,
23,ข้อใดคือกิจกรรมของฝ่ายกำลังพล ในการรักษายอดกำลัง,1วิเคราะห์ข้อสั่งการ,2การจัดทำแผนรักษาความปลอดภัย,3การทดแทนกำลังพล,4ถูกทุกข้อ,3,,,,,
24,ข้อใดมิใช่กิจกรรมหลักในการพัฒนาและรักษาขวัญของกำลังพล,1เสนอแนะผู้บังคับบัญชาถึงสภาพขวัญ,2การรักษายอดกำลังพล,3การหมุนเวียนกำลังพล,4การจัดบำเหน็จรางวัล,2,,,,,
25,ข้อใดมิใช่งานในหน้าที่ร่วมของฝ่ายกำลังพลในฐานะฝ่ายอำนวยการ,1การให้ข้อมูลข่าวสาร ,2การประมาณการ,3การสั่งการ,4การจัดทำคำสั่ง,3,,,,,
26,การจัดการเกี่ยวกับสหกรณ์ ถือว่าเป็นงานประเภทใดของฝ่ายกำลังพล,1งานธุรการ,2งานทะเบียนพล,3งานประวัติ,4งานสวัสดิการ,4,,,,,
27,การประเมินผลบุคคล ถือว่าเป็นงานประเภทใดของฝ่ายกำลังพล,1งานธุรการ,2งานทะเบียนพล,3งานประวัติ,4งานคดีวินัย,2,,,,,
28,ข้อใดมิใช่การพัฒนาและรักษาขวัญกำลังพล,1การหมุนเวียนกำลัง,2การดำเนินการทางวินัย,3การสวัสดิการ,4การอบรมจริยธรรม,2,,,,,
29,ในการทดแทนกำลังพล เพื่อรักษายอดกำลังพล จะมีฝ่ายอำนวยการใดเกี่ยวข้องบ้าง,1ฝ่ายกำลังพล,2ฝ่ายยุทธการ,3ฝ่ายการข่าว,4ถูกทุกข้อ,4,,,,,
30,ในการให้ข้อเสนอแนะแก่ผู้บังคับบัญชาจากประมาณการกำลังพล มีสาระในการเสนอแนะคือ,1การสนับสนุนด้านกำลังพลต่อแนวทางปฏิบัติที่กำหนดไว้ทุกแนวทางสามารถทำได้หรือไม่,2สามารถสนับสนุนแนวทางใดได้ดีที่สุด,"3ในการสนับสนุนด้านกำลังพล มีปัญหาข้อจำกัด และข้อแนะนำต่อผู้บังคับบัญชาและผู้บังคับหน่วยปฏิบัติอย่างไรบ้าง 
            ปฏิบัติอย่างไรบ้าง
",4ถูกทุกข้อ,4,,,,,
31,ข้อใดไม่ใช่หน้าที่งานทะเบียนพล, 1จัดทําความต้องการกําลังพล,2มีหน้าที่จัดทําเนียบกําลังพล,3โอนบุคคลเข้ารับราชการ,4ดําเนินการเกี่ยวกับสิทธิต่าง ๆ ให้แก่ข้าราชการตํารวจ จัดการเกี่ยวกับสหกรณ์การกีฬาและการสันทนาการ,4,,,,,
32,ข้อใดเป็นหน้าที่งานทะเบียนพล, 1การจัดการตามระเบียบงานสารบรรณ,2มีหน้าที่จัดทําเนียบกําลังพล,3มีหน้าที่รวบรวมระเบียบ ข้อบังคับเกี่ยวกับระเบียบวินัยข้าราชการ,4ดําเนินการเกี่ยวกับสิทธิต่าง ๆ ให้แก่ข้าราชการตํารวจ จัดการเกี่ยวกับสหกรณ์การกีฬาและการสันทนาการ,2,,,,,
33,ข้อใดเป็นหน้าที่งานคดีวินัย, 1จัดทําความต้องการกําลังพล,2มีหน้าที่จัดทําเนียบกําลังพล,3มีหน้าที่รวบรวมระเบียบ ข้อบังคับเกี่ยวกับระเบียบวินัยข้าราชการ,4โอนบุคคลเข้ารับราชการ,3,,,,,
34,ข้อใดเป็นหน้าที่งานสวัสดิการ, 1การจัดการตามระเบียบงานสารบรรณ,2โอนบุคคลเข้ารับราชการ,3มีหน้าที่รวบรวมระเบียบ ข้อบังคับเกี่ยวกับระเบียบวินัยข้าราชการ,4ดําเนินการเกี่ยวกับสิทธิต่าง ๆ ให้แก่ข้าราชการตํารวจ จัดการเกี่ยวกับสหกรณ์การกีฬาและการสันทนาการ,4,,,,,
35,ข้อใดเป็นหน้าที่งานธุรการและสารบรรณ, 1การจัดการตามระเบียบงานสารบรรณ,2โอนบุคคลเข้ารับราชการ,3มีหน้าที่รวบรวมระเบียบ ข้อบังคับเกี่ยวกับระเบียบวินัยข้าราชการ,4ดําเนินการเกี่ยวกับสิทธิต่าง ๆ ให้แก่ข้าราชการตํารวจ จัดการเกี่ยวกับสหกรณ์การกีฬาและการสันทนาการ,1,,,,,
36,ข้อใดเป็นหน้าที่งานประวัติ, 1การจัดการตามระเบียบงานสารบรรณ,2เก็บรักษาสมุดประวัติ,3มีหน้าที่รวบรวมระเบียบ ข้อบังคับเกี่ยวกับระเบียบวินัยข้าราชการ,4ดําเนินการเกี่ยวกับสิทธิต่าง ๆ ให้แก่ข้าราชการตํารวจ จัดการเกี่ยวกับสหกรณ์การกีฬาและการสันทนาการ,2,,,,,
37,ดําเนินการเกี่ยวกับสิทธิต่าง ๆ ให้แก่ข้าราชการตํารวจ จัดการเกี่ยวกับสหกรณ์การกีฬาและการสันทนาการ เป็นหน้าที่ของงานใด,1งานธุรการและสารบรรณ,2งานประวัติ,3งานคดีวินัย,4งานสวัสดิการ,4,,,,,
38,หน้าที่จัดทําเนียบกําลังพล จัดทําความต้องการกําลังพลดําเนินการเกี่ยวกับการบรรจุแต่งตั้ง โอนบุคคลเข้ารับราชการ การประเมินผลบุคคล ดําเนินการเกี่ยวกับการลา การเลื่อนขั้นเงินเดือน เลื่อนยศ การออกจากราชการ บําเหน็จบํานาญและการดําเนินการเกี่ยวกับเงินเพิ่มพิเศษต่าง ๆ เป็นหน้าที่ของงานใด,1งานธุรการและสารบรรณ,2งานประวัติ,3งานทะเบียนพล,4งานสวัสดิการ,3,,,,,
39,หน้าที่รวบรวมระเบียบ ข้อบังคับเกี่ยวกับระเบียบวินัยข้าราชการควบคุมการประพฤติปฏิบัติของข้าราชการรับเรื่องราวร้องทุกข์ สืบสวนข้อเท็จจริงและการลงทัณฑ์เป็นหน้าที่ของงานใด,1งานธุรการและสารบรรณ,2งานคดีวินัย,3งานทะเบียนพล,4งานสวัสดิการ,2,,,,,
40,หน้าที่การจัดการตามระเบียบงานสารบรรณ การดูแลรักษาความสะอาดจัดระเบียบของอาคารสถานที่จัดเวรยามรักษาความปลอดภัย สถานที่ราชการ เป็นเจ้าหน้าที่ธุรการในงานอื่น ๆ เมื่อผู้บังคับบัญชามอบหมายเป็นหน้าที่ของงานใด,1งานธุรการและสารบรรณ,2งานคดีวินัย,3งานทะเบียนพล,4งานสวัสดิการ,1,,,,,
41,กองกำกับการ1 ในโครงสร้างการจัดส่วนราชการของสำนักงานตำรวจแห่งชาติ หมายถึงข้อใด,1กองกำกับการกำลังพล,2กองกำกับการงบประมาณ,3กองกำกับการส่งกำลังบำรุง,4กองกำกับการงานชุมชนสัมพันธ์,1,,,,,
42,กองกำกับการกำลังพลเป็นหน่วยงานในสังกัดกองบังคับการอำนวยการในหน่วยระดับกองบังคับการหรือตำรวจภูธรจังหวัดจัดงานเป็นกี่ลักษณะ,1 2 ลักษณะ,2 3 ลักษณะ,3 4 ลักษณะ,4 5 ลักษณะ,1,,,,,
43,ข้อใดมิใช่หน้าที่หลักของงานธุรการประจำในหน่วยกำลังพล,1งานสวัสดิการ,2งานคดีวินัย,3งานประวัติ,4งานแผน,4,,,,,
44,การดูแลรักษาความสะอาดจัดระเบียบของอาคารสถานที่จัดเวรยามรักษาความปลอดภัยเป็นงานด้านใด,1งานธุรการ,2งานประวัติ,2งานคดีวินัย,4งานแผน,1,,,,,
45,ข้อใดเป็นแนวทางการในพัฒนาและการรักษาขวัญ,1การบริการกําลังพล,2การจัดการศพ,3บําเหน็จรางวัล,4ถูกทุกข้อ,4,,,,,
46,การประมาณการกำลังพลสามารถกระทำได้กี่ลักษณะ,1 2 ลักษณะ,2 3 ลักษณะ,3 4 ลักษณะ,4 5 ลักษณะ,2,,,,,
47,การประมาณการกำลังพลสามารถกระทำได้ลักษณะอะไรบ้าง,1 การเสนอการประมาณการด้วยวาจา,2 การเสนอการประมาณการเป็นลายลักษณ์อักษร,3 ถูกทั้งคำตอบที่ 1 และ 2,4 ไม่มีข้อใดถูก,3,,,,,
48,งานเกี่ยวกับการลา การออกราชการ เป็นการดำเนินการของงานใด,1งานธุรการ,2งานสารบรรณ,3งานทะเบียนพล,4งานทะเบียนประวัติ,3,,,,,
49,งานสวัสดิการหมายถึงข้อใด,1งานที่จัดการเกี่ยวกับสันทนาการ,2งานที่เกี่ยวกับการโอนบุคคลเข้ารับราชการ,3งานเกี่ยวกับการประเมินบุคคล,4งานรวบรวมประวัติการศึกษาคุณวุฒิข้าราชการ,1,,,,,
50,งานดำเนินการเกี่ยวกับเครื่องราชอิสริยาภรณ์ เป็นการดำเนินการของงานใด,1งานทะเบียนพล,2งานสารบรรณ,3งานธุรการ,4งานประวัติ,4,,,,,
51,ข้อใดกล่าวไม่ถูกต้อง,1แผนกําลังพล กระทําตามข้อตกลงใจของผู้บังคับบัญชาเป็นหลัก ตามปกติฝ่ายกําลังพลมักจะได้ทําแผนของตนไว้ก่อนผู้บังคับบัญชาจะตกลงใจแล้วเพียงปรับปรุงตามความจําเป็นเพื่อสนับสนุนข้อตกลงใจของผู้บังคับบัญชาให้ดีที่สุด,2แผนกําลังพล ไม่ควรจะได้มีการตรวจสอบใหม่,"3การวิเคราะห์สถานการณ์ของฝ่ายกําลังพล จะกล่าวถึงนโยบายการรักษายอดกําลังพลของหน่วยการทดแทนกําลังพลการเปลี่ยนกําลัง การจัดการกําลังพล อํานาจในการสั่งการ ขออนุมัติผู้มีอํานาจ การจัดการในด้านสิทธิกําลังพล สวัสดิการ การกวดขันความประพฤติระเบียบวินัย และการ
รักษาความปลอดภัยที่ทําการ",4การประมาณการกําลังพล กระทําได้ 2 ลักษณะคือ การเสนอการประมาณการด้วยวาจาและการเสนอการประมาณการเป็นลายลักษณ์อักษร ขึ้นอยู่กับระดับหน่วยที่จะทําการประมาณการ ว่าจะใช้รูปแบบใด,2,,,,,
52,การจัดทำและดำรงรักษาประมาณการกำลังพลทดแทนอย่างต่อเนื่อง หมายถึงข้อใด,1ฝ่ายส่งกำลังบำรุง,2ฝ่ายกำลังพล,3ฝ่ายยุทธการ,4ฝ่ายแผน,2,,,,,
53,ฝ่ายการข่าว หมายความถึงข้อใด,1ให้ข้อเสนอจัดลำดับความเร่งด่วนในการแบ่งมอบกำลัง,2จัดให้มีการสนับสนุนการส่งกำลัง,3ให้ข้อเสนอลำดับความเร่งด่วนในการมอบผู้ชำนาญการ,4ถูกทุกข้อ,4,,,,,
54,การจัดทำรูปแบบผนวกกําลังพลสามารถทำได้กี่แบบ,1 2 แบบ,2 3  แบบ,3 4  แบบ,4 5  แบบ,1,,,,,
55,ข้อใดเป็นการจัดทำรูปแบบผนวกกำลังพล,1ผนวกกำลังพลชนิดจ่ายไปพร้อมกับคําสั่งยุทธการ ,2ผนวกกำลังพลแบบจ่ายแยก,3 ถูกทั้งคำตอบที่ 1 และ 2,4 ไม่มีข้อใดถูก,3,,,,,
56,ข้อใดเป็นการจัดทำแผนกำลังพลที่ถูกต้อง,"1แผนกําลังพล กระทําตามข้อตกลงใจของผู้บังคับบัญชาเป็นหลัก ตามปกติฝ่ายกําลังพลมักจะได้ทําแผนของตนไว้ก่อนผู้บังคับบัญชาจะตกลงใจแล้วเพียงปรับปรุงตามความจําเป็นเพื่อ
สนับสนุนข้อตกลงใจของผู้บังคับบัญชาให้ดีที่สุด",2แผนกําลังพล ควรจะได้มีการตรวจสอบใหม่อยู่เสมอ เพื่อให้เป็นที่แน่นอนว่า แผนนั้นเหมาะสมที่จะสนับสนุนภารกิจของหน่วยที่เป็นอยู่ปัจจุบันและไม่ขัดนโยบาย,3 ถูกทั้งคำตอบที่ 1 และ 2,4 ไม่มีข้อใดถูก,3,,,,,
57,ข่าวสารกำลังพล ประกอบด้วย,1การรักษายอดกําลังพล ,2การทดแทนกําลังพล,3การพัฒนาและรักษาขวัญกําลังพล,4ถูกทุกข้อ,4,,,,,
58,การอนุมัติสั่งการในเรื่องของเข้าปฏิบัติหน้าที่และการพ้นจากหน้าที่ของกำลังพล หมายถึงข้อใด,1การรักษายอดกําลังพล ,2การทดแทนกําลังพล,3การดำเนินการกำลังพล,4การพัฒนาและรักษาขวัญกำลังพล,3,,,,,
59,การให้ข้อเสนอจัดลำดับความเร่งด่วนในการแบ่งมอบกำลังทดแทนเป็นบุคคลและทดแทนเป็นหน่วยเกี่ยวข้องกับข้อใด,1ฝ่ายส่งกำลังบำรุง,2ฝ่ายกำลังพล,3ฝ่ายยุทธการ,4ฝ่ายแผน,3,,,,,
60,"การตรวจเยี่ยมบํารุงขวัญต่าง ๆ ต่อกําลังพล การจัดการในเรื่องสิทธิพึงมีพึงได้อย่างถูกต้องครบถ้วนและรวดเร็ว เกี่ยวกับเรื่องใด

",1การรักษายอดกําลังพล ,2การทดแทนกําลังพล,3การดำเนินการกำลังพล,4การพัฒนาและรักษาขวัญกำลังพล,4,,,,,
